iso3c,year,population
DEU,2017,82657002
DEU,2016,82348669
DEU,2015,81686611
DEU,2014,80982500
DEU,2013,80645605
DEU,2012,80425823
DEU,2011,80274983
DEU,2010,81776930
DEU,2009,81902307
DEU,2008,82110097
DEU,2007,82266372
DEU,2006,82376451
DEU,2005,82469422
DEU,2004,82516260
DEU,2003,82534176
DEU,2002,82488495
DEU,2001,82349925
DEU,2000,82211508
DEU,1999,82100243
DEU,1998,82047195
DEU,1997,82034771
DEU,1996,81914831
DEU,1995,81678051
DNK,2019,5814422
DNK,2018,5793636
DNK,2017,5764980
DNK,2016,5728010
DNK,2015,5683483
DNK,2014,5643475
DNK,2013,5614932
DNK,2012,5591572
DNK,2011,5570572
DNK,2010,5547683
DNK,2009,5523095
DNK,2008,5493621
DNK,2007,5461438
DNK,2006,5437272
DNK,2005,5419432
DNK,2004,5404523
DNK,2003,5390574
DNK,2002,5375931
DNK,2001,5358783
DNK,2000,5339616
DNK,1999,5321799
DNK,1998,5304219
DNK,1997,5284991
DNK,1996,5263074
DNK,1995,5233373
ESP,2019,47134837
ESP,2018,46797754
ESP,2017,46593236
ESP,2016,46484062
ESP,2015,46444832
ESP,2014,46480882
ESP,2013,46620045
ESP,2012,46773055
ESP,2011,46742697
ESP,2010,46576897
ESP,2009,46362946
ESP,2008,45954106
ESP,2007,45226803
ESP,2006,44397319
ESP,2005,43653155
ESP,2004,42921895
ESP,2003,42187645
ESP,2002,41431558
ESP,2001,40850412
ESP,2000,40567864
ESP,1999,40386875
ESP,1998,40223509
ESP,1997,40057389
ESP,1996,39889852
ESP,1995,39724050
EST,2019,1326855
EST,2018,1321977
EST,2017,1317384
EST,2016,1315790
EST,2015,1315407
EST,2014,1314545
EST,2013,1317997
EST,2012,1322696
EST,2011,1327439
EST,2010,1331475
EST,2009,1334515
EST,2008,1337090
EST,2007,1340680
EST,2006,1346810
EST,2005,1354775
EST,2004,1362550
EST,2003,1370720
EST,2002,1379350
EST,2001,1388115
EST,2000,1396985
EST,1999,1390244
EST,1998,1386156
EST,1997,1399535
EST,1996,1415594
EST,1995,1436634
FIN,2019,5521606
FIN,2018,5515525
FIN,2017,5508214
FIN,2016,5495303
FIN,2015,5479531
FIN,2014,5461512
FIN,2013,5438972
FIN,2012,5413971
FIN,2011,5388272
FIN,2010,5363352
FIN,2009,5338871
FIN,2008,5313399
FIN,2007,5288720
FIN,2006,5266268
FIN,2005,5246096
FIN,2004,5228172
FIN,2003,5213014
FIN,2002,5200598
FIN,2001,5188008
FIN,2000,5176209
FIN,1999,5165474
FIN,1998,5153498
FIN,1997,5139835
FIN,1996,5124573
FIN,1995,5107790
FRA,2019,67248926
FRA,2018,67101930
FRA,2017,66918020
FRA,2016,66724104
FRA,2015,66548272
FRA,2014,66312067
FRA,2013,65998685
FRA,2012,65659814
FRA,2011,65342789
FRA,2010,65027505
FRA,2009,64707035
FRA,2008,64374979
FRA,2007,64016227
FRA,2006,63621376
FRA,2005,63179356
FRA,2004,62704901
FRA,2003,62244880
FRA,2002,61805266
FRA,2001,61357432
FRA,2000,60912500
FRA,1999,60496708
FRA,1998,60186284
FRA,1997,59964841
FRA,1996,59753095
FRA,1995,59541904
GBR,2019,66836327
GBR,2018,66460344
GBR,2017,66058859
GBR,2016,65611593
GBR,2015,65116219
GBR,2014,64602298
GBR,2013,64128273
GBR,2012,63700215
GBR,2011,63258810
GBR,2010,62766365
GBR,2009,62276270
GBR,2008,61806995
GBR,2007,61322463
GBR,2006,60846820
GBR,2005,60401206
GBR,2004,59987905
GBR,2003,59647577
GBR,2002,59370479
GBR,2001,59119673
GBR,2000,58892514
GBR,1999,58682466
GBR,1998,58487141
GBR,1997,58316954
GBR,1996,58166950
GBR,1995,58019030
GRC,2019,10721582
GRC,2018,10732882
GRC,2017,10754679
GRC,2016,10775971
GRC,2015,10820883
GRC,2014,10892413
GRC,2013,10965211
GRC,2012,11045011
GRC,2011,11104899
GRC,2010,11121341
GRC,2009,11107017
GRC,2008,11077841
GRC,2007,11048473
GRC,2006,11020362
GRC,2005,10987314
GRC,2004,10955141
GRC,2003,10928070
GRC,2002,10902022
GRC,2001,10862132
GRC,2000,10805808
GRC,1999,10761698
GRC,1998,10720509
GRC,1997,10661259
GRC,1996,10608800
GRC,1995,10562153
HRV,2019,4065253
HRV,2018,4087843
HRV,2017,4124531
HRV,2016,4174349
HRV,2015,4203604
HRV,2014,4238389
HRV,2013,4255689
HRV,2012,4267558
HRV,2011,4280622
HRV,2010,4295427
HRV,2009,4305181
HRV,2008,4309705
HRV,2007,4310217
HRV,2006,4311159
HRV,2005,4310145
HRV,2004,4304600
HRV,2003,4303399
HRV,2002,4302174
HRV,2001,4299642
HRV,2000,4468302
HRV,1999,4512597
HRV,1998,4532135
HRV,1997,4534920
HRV,1996,4557097
HRV,1995,4620030
HUN,2019,9771141
HUN,2018,9775564
HUN,2017,9787966
HUN,2016,9814023
HUN,2015,9843028
HUN,2014,9866468
HUN,2013,9893082
HUN,2012,9920362
HUN,2011,9971727
HUN,2010,10000023
HUN,2009,10022650
HUN,2008,10038188
HUN,2007,10055780
HUN,2006,10071370
HUN,2005,10087065
HUN,2004,10107146
HUN,2003,10129552
HUN,2002,10158608
HUN,2001,10187576
HUN,2000,10210971
HUN,1999,10237530
HUN,1998,10266570
HUN,1997,10290486
HUN,1996,10311238
HUN,1995,10328965
IDN,2019,270625567
IDN,2018,267670549
IDN,2017,264650969
IDN,2016,261556386
IDN,2015,258383257
IDN,2014,255128076
IDN,2013,251805314
IDN,2012,248451714
IDN,2011,245115988
IDN,2010,241834226
IDN,2009,238620554
IDN,2008,235469755
IDN,2007,232374239
IDN,2006,229318262
IDN,2005,226289468
IDN,2004,223285666
IDN,2003,220309473
IDN,2002,217357790
IDN,2001,214427419
IDN,2000,211513822
IDN,1999,208615171
IDN,1998,205724597
IDN,1997,202826444
IDN,1996,199901231
IDN,1995,196934257
IND,2019,1366417756
IND,2018,1352642283
IND,2017,1338676779
IND,2016,1324517250
IND,2015,1310152392
IND,2014,1295600768
IND,2013,1280842119
IND,2012,1265780243
IND,2011,1250287939
IND,2010,1234281163
IND,2009,1217726217
IND,2008,1200669762
IND,2007,1183209471
IND,2006,1165486291
IND,2005,1147609924
IND,2004,1129623466
IND,2003,1111523146
IND,2002,1093317187
IND,2001,1075000094
IND,2000,1056575548
IND,1999,1038058154
IND,1998,1019483586
IND,1997,1000900028
IND,1996,982365248
IND,1995,963922586
IRL,2019,4934340
IRL,2018,4867316
IRL,2017,4807388
IRL,2016,4755335
IRL,2015,4701957
IRL,2014,4657740
IRL,2013,4623816
IRL,2012,4599533
IRL,2011,4580084
IRL,2010,4560155
IRL,2009,4535375
IRL,2008,4489544
IRL,2007,4398942
IRL,2006,4273591
IRL,2005,4159914
IRL,2004,4070262
IRL,2003,3996521
IRL,2002,3931947
IRL,2001,3866243
IRL,2000,3805174
IRL,1999,3754786
IRL,1998,3712696
IRL,1997,3674171
IRL,1996,3637510
IRL,1995,3608841
ITA,2019,59729081
ITA,2018,60421760
ITA,2017,60536709
ITA,2016,60627498
ITA,2015,60730582
ITA,2014,60789140
ITA,2013,60233948
ITA,2012,59539717
ITA,2011,59379449
ITA,2010,59277417
ITA,2009,59095365
ITA,2008,58826731
ITA,2007,58438310
ITA,2006,58143979
ITA,2005,57969484
ITA,2004,57685327
ITA,2003,57313203
ITA,2002,57059007
ITA,2001,56974100
ITA,2000,56942108
ITA,1999,56916317
ITA,1998,56906744
ITA,1997,56890372
ITA,1996,56860281
ITA,1995,56844303
JPN,2019,126633000
JPN,2018,126811000
JPN,2017,126972000
JPN,2016,127076000
JPN,2015,127141000
JPN,2014,127276000
JPN,2013,127445000
JPN,2012,127629000
JPN,2011,127833000
JPN,2010,128070000
JPN,2009,128047000
JPN,2008,128063000
JPN,2007,128001000
JPN,2006,127854000
JPN,2005,127773000
JPN,2004,127761000
JPN,2003,127718000
JPN,2002,127445000
JPN,2001,127149000
JPN,2000,126843000
JPN,1999,126631000
JPN,1998,126400000
JPN,1997,126057000
JPN,1996,125757000
JPN,1995,125472000
KOR,2019,51764822
KOR,2018,51585058
KOR,2017,51361911
KOR,2016,51217803
KOR,2015,51014947
KOR,2014,50746659
KOR,2013,50428893
KOR,2012,50199853
KOR,2011,49936638
KOR,2010,49554112
KOR,2009,49307835
KOR,2008,49054708
KOR,2007,48683638
KOR,2006,48438292
KOR,2005,48184561
KOR,2004,48082519
KOR,2003,47892330
KOR,2002,47644736
KOR,2001,47370164
KOR,2000,47008111
KOR,1999,46616677
KOR,1998,46286503
KOR,1997,45953580
KOR,1996,45524681
KOR,1995,45092991
LTU,2019,2794137
LTU,2018,2801543
LTU,2017,2828403
LTU,2016,2868231
LTU,2015,2904910
LTU,2014,2932367
LTU,2013,2957689
LTU,2012,2987773
LTU,2011,3028115
LTU,2010,3097282
LTU,2009,3162916
LTU,2008,3198231
LTU,2007,3231294
LTU,2006,3269909
LTU,2005,3322528
LTU,2004,3377075
LTU,2003,3415213
LTU,2002,3443067
LTU,2001,3470818
LTU,2000,3499536
LTU,1999,3524238
LTU,1998,3549331
LTU,1997,3575137
LTU,1996,3601613
LTU,1995,3629102
LUX,2019,620001
LUX,2018,607950
LUX,2017,596336
LUX,2016,582014
LUX,2015,569604
LUX,2014,556319
LUX,2013,543360
LUX,2012,530946
LUX,2011,518347
LUX,2010,506953
LUX,2009,497783
LUX,2008,488650
LUX,2007,479993
LUX,2006,472637
LUX,2005,465158
LUX,2004,458095
LUX,2003,451630
LUX,2002,446175
LUX,2001,441525
LUX,2000,436300
LUX,1999,430475
LUX,1998,424700
LUX,1997,419450
LUX,1996,414225
LUX,1995,408625
LVA,2019,1913822
LVA,2018,1927174
LVA,2017,1942248
LVA,2016,1959537
LVA,2015,1977527
LVA,2014,1993782
LVA,2013,2012647
LVA,2012,2034319
LVA,2011,2059709
LVA,2010,2097555
LVA,2009,2141669
LVA,2008,2177322
LVA,2007,2200325
LVA,2006,2218357
LVA,2005,2238799
LVA,2004,2263122
LVA,2003,2287955
LVA,2002,2310173
LVA,2001,2337170
LVA,2000,2367550
LVA,1999,2390482
LVA,1998,2410019
LVA,1997,2432851
LVA,1996,2457222
LVA,1995,2485056
MEX,2019,127575529
MEX,2018,126190782
MEX,2017,124777326
MEX,2016,123333379
MEX,2015,121858251
MEX,2014,120355137
MEX,2013,118827158
MEX,2012,117274156
MEX,2011,115695468
MEX,2010,114092961
MEX,2009,112463886
MEX,2008,110815272
MEX,2007,109170503
MEX,2006,107560155
MEX,2005,106005199
MEX,2004,104514934
MEX,2003,103081020
MEX,2002,101684764
MEX,2001,100298152
MEX,2000,98899845
MEX,1999,97484823
MEX,1998,96056313
MEX,1997,94611008
MEX,1996,93147045
MEX,1995,91663290
MLT,2019,504062
MLT,2018,484630
MLT,2017,467999
MLT,2016,455356
MLT,2015,445053
MLT,2014,434558
MLT,2013,425967
MLT,2012,420028
MLT,2011,416268
MLT,2010,414508
MLT,2009,412477
MLT,2008,409379
MLT,2007,406724
MLT,2006,405308
MLT,2005,403834
MLT,2004,401268
MLT,2003,398582
MLT,2002,395969
MLT,2001,393028
MLT,2000,390087
MLT,1999,387578
MLT,1998,385287
MLT,1997,382791
MLT,1996,379905
MLT,1995,377419
NLD,2019,17344874
NLD,2018,17231624
NLD,2017,17131296
NLD,2016,17030314
NLD,2015,16939923
NLD,2014,16865008
NLD,2013,16804432
NLD,2012,16754962
NLD,2011,16693074
NLD,2010,16615394
NLD,2009,16530388
NLD,2008,16445593
NLD,2007,16381696
NLD,2006,16346101
NLD,2005,16319868
NLD,2004,16281779
NLD,2003,16225302
NLD,2002,16148929
NLD,2001,16046180
NLD,2000,15925513
NLD,1999,15812088
NLD,1998,15707209
NLD,1997,15610650
NLD,1996,15530498
NLD,1995,15459006
NOR,2019,5347896
NOR,2018,5311916
NOR,2017,5276968
NOR,2016,5234519
NOR,2015,5188607
NOR,2014,5137232
NOR,2013,5079623
NOR,2012,5018573
NOR,2011,4953088
NOR,2010,4889252
NOR,2009,4828726
NOR,2008,4768212
NOR,2007,4709153
NOR,2006,4660677
NOR,2005,4623291
NOR,2004,4591910
NOR,2003,4564855
NOR,2002,4538159
NOR,2001,4513751
NOR,2000,4490967
NOR,1999,4461913
NOR,1998,4431464
NOR,1997,4405157
NOR,1996,4381336
NOR,1995,4359184
POL,2019,37965475
POL,2018,37974750
POL,2017,37974826
POL,2016,37970087
POL,2015,37986412
POL,2014,38011735
POL,2013,38040196
POL,2012,38063164
POL,2011,38063255
POL,2010,38042794
POL,2009,38151603
POL,2008,38125759
POL,2007,38120560
POL,2006,38141267
POL,2005,38165445
POL,2004,38182222
POL,2003,38204570
POL,2002,38230364
POL,2001,38248076
POL,2000,38258629
POL,1999,38660271
POL,1998,38663481
POL,1997,38649660
POL,1996,38624370
POL,1995,38594998
PRT,2019,10286263
PRT,2018,10283822
PRT,2017,10300300
PRT,2016,10325452
PRT,2015,10358076
PRT,2014,10401062
PRT,2013,10457295
PRT,2012,10514844
PRT,2011,10557560
PRT,2010,10573100
PRT,2009,10568247
PRT,2008,10558177
PRT,2007,10542964
PRT,2006,10522288
PRT,2005,10503330
PRT,2004,10483861
PRT,2003,10458821
PRT,2002,10419631
PRT,2001,10362722
PRT,2000,10289898
PRT,1999,10217828
PRT,1998,10160196
PRT,1997,10108977
PRT,1996,10063945
PRT,1995,10026176
ROU,2019,19371648
ROU,2018,19473970
ROU,2017,19588715
ROU,2016,19702267
ROU,2015,19815616
ROU,2014,19908979
ROU,2013,19983693
ROU,2012,20058035
ROU,2011,20147528
ROU,2010,20246871
ROU,2009,20367487
ROU,2008,20537875
ROU,2007,20882982
ROU,2006,21193760
ROU,2005,21319685
ROU,2004,21451748
ROU,2003,21574326
ROU,2002,21730496
ROU,2001,22131970
ROU,2000,22442971
ROU,1999,22472040
ROU,1998,22507344
ROU,1997,22553978
ROU,1996,22619004
ROU,1995,22684270
RUS,2019,144406261
RUS,2018,144477859
RUS,2017,144496739
RUS,2016,144342397
RUS,2015,144096870
RUS,2014,143819667
RUS,2013,143506995
RUS,2012,143201721
RUS,2011,142960908
RUS,2010,142849468
RUS,2009,142785349
RUS,2008,142742366
RUS,2007,142805114
RUS,2006,143049637
RUS,2005,143518814
RUS,2004,144067316
RUS,2003,144648618
RUS,2002,145306497
RUS,2001,145976482
RUS,2000,146596869
RUS,1999,147214776
RUS,1998,147670784
RUS,1997,147915361
RUS,1996,148160129
RUS,1995,148375787
SVK,2019,5454147
SVK,2018,5446771
SVK,2017,5439232
SVK,2016,5430798
SVK,2015,5423801
SVK,2014,5418649
SVK,2013,5413393
SVK,2012,5407579
SVK,2011,5398384
SVK,2010,5391428
SVK,2009,5386406
SVK,2008,5379233
SVK,2007,5374622
SVK,2006,5373054
SVK,2005,5372807
SVK,2004,5372280
SVK,2003,5373374
SVK,2002,5376912
SVK,2001,5378867
SVK,2000,5388720
SVK,1999,5396020
SVK,1998,5390516
SVK,1997,5383291
SVK,1996,5373361
SVK,1995,5361999
SVN,2019,2088385
SVN,2018,2073894
SVN,2017,2066388
SVN,2016,2065042
SVN,2015,2063531
SVN,2014,2061980
SVN,2013,2059953
SVN,2012,2057159
SVN,2011,2052843
SVN,2010,2048583
SVN,2009,2039669
SVN,2008,2021316
SVN,2007,2018122
SVN,2006,2006868
SVN,2005,2000474
SVN,2004,1997012
SVN,2003,1995733
SVN,2002,1994530
SVN,2001,1992060
SVN,2000,1988925
SVN,1999,1983045
SVN,1998,1981629
SVN,1997,1985956
SVN,1996,1988628
SVN,1995,1989872
SWE,2019,10278887
SWE,2018,10175214
SWE,2017,10057698
SWE,2016,9923085
SWE,2015,9799186
SWE,2014,9696110
SWE,2013,9600379
SWE,2012,9519374
SWE,2011,9449213
SWE,2010,9378126
SWE,2009,9298515
SWE,2008,9219637
SWE,2007,9148092
SWE,2006,9080505
SWE,2005,9029572
SWE,2004,8993531
SWE,2003,8958229
SWE,2002,8924958
SWE,2001,8895960
SWE,2000,8872109
SWE,1999,8857874
SWE,1998,8850974
SWE,1997,8846062
SWE,1996,8840998
SWE,1995,8826939
TUR,2019,83429607
TUR,2018,82340090
TUR,2017,81116451
TUR,2016,79827868
TUR,2015,78529413
TUR,2014,77229262
TUR,2013,75925454
TUR,2012,74651046
TUR,2011,73443254
TUR,2010,72326992
TUR,2009,71321406
TUR,2008,70418612
TUR,2007,69581854
TUR,2006,68756809
TUR,2005,67903461
TUR,2004,67010930
TUR,2003,66089402
TUR,2002,65145357
TUR,2001,64192243
TUR,2000,63240196
TUR,1999,62287391
TUR,1998,61329665
TUR,1997,60372571
TUR,1996,59423278
TUR,1995,58486453
USA,2019,328329953
USA,2018,326838199
USA,2017,325122128
USA,2016,323071755
USA,2015,320738994
USA,2014,318386329
USA,2013,316059947
USA,2012,313877662
USA,2011,311583481
USA,2010,309327143
USA,2009,306771529
USA,2008,304093966
USA,2007,301231207
USA,2006,298379912
USA,2005,295516599
USA,2004,292805298
USA,2003,290107933
USA,2002,287625193
USA,2001,284968955
USA,2000,282162411
USA,1999,279040000
USA,1998,275854000
USA,1997,272657000
USA,1996,269394000
USA,1995,266278000
ZAF,2019,58558267
ZAF,2018,57792520
ZAF,2017,57009751
ZAF,2016,56207649
ZAF,2015,55386369
ZAF,2014,54544184
ZAF,2013,53687125
ZAF,2012,52832659
ZAF,2011,52003759
ZAF,2010,51216967
ZAF,2009,50477013
ZAF,2008,49779472
ZAF,2007,49119766
ZAF,2006,48489464
ZAF,2005,47880595
ZAF,2004,47291610
ZAF,2003,46719203
ZAF,2002,46150913
ZAF,2001,45571272
ZAF,2000,44967713
ZAF,1999,44338551
ZAF,1998,43682259
ZAF,1997,42987456
ZAF,1996,42241007
ZAF,1995,41435761
